Chemical,SeriesMoA
L_Ornithine,"C-Source, amino acid"
L_Phenylalanine,"C-Source, amino acid"
L_Proline,"C-Source, amino acid"
L_Pyroglutamic acid,"C-Source, amino acid"
L_Rhamnose,"C-Source, carbohydrate"
L_Serine,"C-Source, amino acid"
L_Sorbose,"C-Source, carbohydrate"
L_TartaricAcid,"C-Source, carboxylic acid"
L_Threonine,"C-Source, amino acid"
L_Valine,"C-Source, amino acid"
Lactulose,"C-Source, carbohydrate"
Laminarin,"C-Source, polymer"
M_HydroxyPhenylAceticAcid,"C-Source, carboxylic acid"
M_Inositol,"C-Source, carbohydrate"
M_TartaricAcid,"C-Source, carboxylic acid"
MalonicAcid,"C-Source, carboxylic acid"
Maltitol,"C-Source, carbohydrate"
Maltose,"C-Source, carbohydrate"
Maltotriose,"C-Source, carbohydrate"
Mannan,"C-Source, polymer"
MelibionicAcid,"C-Source, carbohydrate"
MethylPyruvate,"C-Source, ester"
MonoMethylSuccinate,"C-Source, carboxylic acid"
MucicAcid,"C-Source, carboxylic acid"
N_Acetyl_D_Galactosamine,"C-Source, carbohydrate"
N_Acetyl_D_Glucosamine,"C-Source, carbohydrate"
N_Acetyl_D_Glucosaminitol,"C-Source, carbohydrate"
N_Acetyl_L_GlutamicAcid,"C-Source, amino acid"
N_Acetyl_NeuraminicAcid,"C-Source, carboxylic acid"
N_Acetyl_b_D_Mannosamine,"C-Source, carbohydrate"
NegativeControl,"C-Source, negative control"
OxalicAcid,"C-Source, carboxylic acid"
OxalomalicAcid,"C-Source, carboxylic acid"
P_HydroxyPhenylAceticAcid,"C-Source, carboxylic acid"
Palatinose,"C-Source, carbohydrate"
Pectin,"C-Source, polymer"
Phenylethyl_amine,"C-Source, amine"
Propionicacid,"C-Source, carboxylic acid"
Putrescine,"C-Source, amine"
PyruvicAcid,"C-Source, carboxylic acid"
QuinicAcid,"C-Source, carboxylic acid"
Salicin,"C-Source, carbohydrate"
SebacicAcid,"C-Source, carboxylic acid"
Sedoheptulosan,"C-Source, carbohydrate"
SorbicAcid,"C-Source, carboxylic acid"
Stachyose,"C-Source, carbohydrate"
SuccinamicAcid,"C-Source, carboxylic acid"
SuccinicAcid,"C-Source, carboxylic acid"
Sucrose,"C-Source, carbohydrate"
Thymidine,"C-Source, carbohydrate"
TricarballylicAcid,"C-Source, carboxylic acid"
Turanose,"C-Source, carbohydrate"
Tween20,"C-Source, fatty acid"
Tween40,"C-Source, fatty acid"
Tween80,"C-Source, fatty acid"
Two_Aminoethanol,"C-Source, alcohol"
Two_DeoxyAdenosine,"C-Source, carbohydrate"
Tyramine,"C-Source, amine"
Uridine,"C-Source, carbohydrate"
Xylitol,"C-Source, carbohydrate"
a_Cyclodextrin,"C-Source, polymer"
a_D_Glucose,"C-Source, carbohydrate"
a_D_Lactose,"C-Source, carbohydrate"
a_HydroxyButyricacid,"C-Source, carboxylic acid"
a_HydroxyGlutaricAcid_g_Lactone,"C-Source, carboxylic acid"
a_KetoValericAcid,"C-Source, carboxylic acid"
a_Keto_ButyricAcid,"C-Source, carboxylic acid"
a_Keto_GlutaricAcid,"C-Source, carboxylic acid"
a_Methyl_D_Galactoside,"C-Source, carbohydrate"
a_Methyl_D_Glucoside,"C-Source, carbohydrate"
a_Methyl_D_Mannoside,"C-Source, carbohydrate"
b_Cyclodextrin,"C-Source, polymer"
b_D_Allose,"C-Source, carbohydrate"
b_HydroxybutyricAcid,"C-Source, carboxylic acid"
b_Methyl_D_Galactoside,"C-Source, carbohydrate"
b_Methyl_D_Glucoside,"C-Source, carbohydrate"
b_Methyl_D_GlucuronicAcid,"C-Source, carboxylic acid"
b_Methyl_D_Xyloside,"C-Source, carbohydrate"
d_AminoValericAcid,"C-Source, carboxylic acid"
g_AminoButyricAcid,"C-Source, carboxylic acid"
g_Cyclodextrin,"C-Source, polymer"
g_HydroxybutyricAcid,"C-Source, carboxylic acid"
i_Erythritol,"C-Source, carbohydrate"
sec_Butylamine,"C-Source, amine"
